Title,Authors,Periodical-Title,Pub-Year,PMID
Should all women with postpartum depression be screened for bipolar disorder?,"Sharma, Verinder; Al-Farayedhi, Malak; Doobay, Minakshi; Baczynski, Christine",Medical Hypotheses,2018,
Targeting Breast Cancer Stem Cell State Equilibrium through Modulation of Redox Signaling,"Luo, Ming; Shang, Li; Brooks, Michael D.; Jiagge, Evelyn; Zhu, Yongyou; Buschhaus, Johanna M.; Conley, Sarah; Fath, Melissa A.; Davis, April; Gheordunescu, Elizabeth; Wang, Yongfang; Harouaka, Ramdane; Lozier, Ann; Triner, Daniel; McDermott, Sean; Merajver, Sofia D.; Luker, Gary D.; Spitz, Douglas R.; Wicha, Max S.",Cell Metabolism,2018,
"The Contextual Curriculum: Learning in the Matrix, Learning From the Matrix","Schrewe, Brett; Ellaway, Rachel H.; Watling, Christopher; Bates, Joanna",Academic Medicine,2018,
The Impact of a National Competency-Based Medical Education Initiative in Family Medicine,"Ellaway, Rachel H.; Mackay, Maria Palacios; Lee, Sonya; Hofmeister, Marianna; Malin, Greg; Archibald, Douglas; Lawrence, Katherine; Dogba, Joyce; Cote, Luc; Ross, Shelley",Academic Medicine,2018,
Turk Talk: human-machine hybrid virtual scenarios for professional education,"Cullen, Michelle; Sharma, Nishan; Topps, David",MedEdPublish,2018,
Unusual presentation of late recurrence renal malignancy,"Sharafeldeen, M.; Kotb, A. F.",African Journal Of Urology,2018,
Weaning and Mixed Mania-A Case Report,"Sharma, Verinder",Journal Of Human Lactation,2018,
What have we learnt about using digital technologies in health professional education?,"Wozniak, Helen; Ellaway, Rachel H.; de Jong, Peter G. M.",Medical Journal Of Australia,2018,
A case series evaluating the serological response of adult asthma patients to the 23-valent pneumococcal polysaccharide vaccine,"Laratta, C. R.; Williams, K.; Vethanayagam, D.; Ulanova, M.; Vliagoftis, H.",Allergy Asthma And Clinical Immunology,2017,
A Multicentre Retrospective Review of Clinical Characteristics of Uterine Sarcoma,"Wais, Marta; Tepperman, Elissa; Bernardini, Marcus Q.; Gien, Lilian T.; Jimenez, Waldo; Murji, Ally",Journal Of Obstetrics And Gynaecology Canada,2017,
Becoming visible: Exploring the meaning of busking for a person with mental illness,"Gruhl, Karen Rebeiro",Journal Of Occupational Science,2017,
Case report of asthma associated with 3D printing,"House, R.; Rajaram, N.; Tarlo, S. M.",Occupational Medicine,2017,
Case-aced Review of Osteonecrosis of the Jaw (ONJ) and Application of the International Recommendations for Management From the International Task Force on ONJ,"Khan, Aliya A.; Morrison, Archie; Kendler, David L.; Rizzoli, Rene; Hanley, David A.; Felsenberg, Dieter; McCauley, Laurie K.; O'Ryan, Felice; Reid, Ian R.; Ruggiero, Salvatore L.; Taguchi, Akira; Tetradis, Sotirios; Watts, Nelson B.; Brandi, Maria",Journal of Clinical Densitometry,2017,
Changing concepts in hypertension management,"Gudsoorkar, P. S.; Tobe, S. W.",Journal Of Human Hypertension,2017,
Comparison of Simulation-based Resuscitation Performance Assessments With In-training Evaluation Reports in Emergency Medicine Residents: A Canadian Multicenter Study,"Hall, Andrew Koch; Dagnone, J. D.; Moore, Sean; Woolfrey, Karen G. H.; Ross, John A.; McNeil, Gordon; Hagel, Carly; Davison, Colleen; Sebok-Syer, Stefanie",AEM Education And Training,2017,
Developing a vaccine for Haemophilus influenzae serotype a: Proceedings of a workshop,"Cox, A. D.; Barreto, L.; Ulanova, M.; Bruce, M. G.; Tsang, Rsw",Canada Communicable Disease Report = Releve Des Maladies Transmissibles Au Canada,2017,
Does preoperative depression predict post-operative surgical pain: A systematic review,"Dadgostar, A.; Bigder, M.; Punjani, N.; Lozo, S.; Chahal, V.; Kavanagh, A.",International Journal Of Surgery,2017,
Effect of sustained low efficient dialysis versus continuous renal replacement therapy on renal recovery after acute kidney injury in the intensive care unit: A systematic review and meta-analysis,"Kovacs, Bernadett; Sullivan, Katrina J.; Hiremath, Swapnil; Patel, Rakesh V.",Nephrology,2017,
Evolution of epilepsy in hemimegalencephaly frominfancy to adulthood: Case report and review of the literature,"Ikeda, Kristin M.; Mirsattari, Seyed M.",Epilepsy & Behavior Case Reports,2017,
Examining the Usefulness of ISO 10819 Anti-Vibration Glove Certification,"Budd, D.; House, R.",Annals Of Work Exposures And Health,2017,
Food-dependent exercise-induced anaphylaxis,"Minty, Bryanne",Canadian Family Physician,2017,
"From awareness to action: Sudbury, mining and occupational disease in a time of change","Kramer, Desre M.; Holness, D. L.; Haynes, Emily; McMillan, Keith; Berriault, Colin; Kalenge, Sheila; Lightfoot, Nancy",Work - A Journal Of Prevention Assessment & Rehabilitation,2017,
Health Care Students' Attitudes About Alcohol Consumption During Pregnancy: Responses to Narrative Vignettes,"Coons, Kelly D.; Watson, Shelley L.; Yantzi, Nicole M.; Lightfoot, Nancy E.; Larocque, Sylvie",Global Qualitative Nursing Research,2017,
"Health-related quality-of-life results for pembrolizumab versus chemotherapy in advanced, PD-L1-positive NSCLC (KEYNOTE-024): a multicentre, international, randomised, open-label phase 3 trial","Brahmer, Julie R.; Rodriguez-Abreu, Delvys; Robinson, Andrew G.; Hui, Rina; Csoszi, Tibor; Fulop, Andrea; Gottfried, Maya; Peled, Nir; Tafreshi, Ali; Cuffe, Sinead; O'Brien, Mary; Rao, Suman; Hotta, Katsuyuki; Zhang, Jin; Lubiniecki, Gregory M.; Deitz, Anne C.; Rangwala, Reshma; Reck, Martin",Lancet Oncology,2017,
Infrared thermography in the hands and feet of hand-arm vibration syndrome (HAVS) cases and controls,"House, R.; Holness, L.; Taraschuk, I.; Nisenbaum, R.",International Journal Of Industrial Ergonomics,2017,
Injury epidemiology in Iran: a systematic review,"Azami-Aghdash, Saber; Sadeghi-Bazargani, Homayoun; Shabaninejad, Hosein; Abolghasem Gorji, Hassan",Journal Of Injury & Violence Research,2017,
Is it time to reconsider Dobson (litigation guardian of) v Dobson? An international analysis of maternal tort liability,"Brennan, Mariette",International Journal Of Human Rights,2017,
Lessons learned implementing a province-wide smoking cessation initiative in Ontario's cancer centres,"Evans, W. K.; Truscott, R.; Cameron, E.; Peter, A.; Reid, R.; Selby, P.; Smith, P.; Hey, A.",Current Oncology,2017,
METRICS: a pattern language of scholarship in medical education,"Ellaway, Rachel; Topps, David",MedEdPublish,2017,
"No Alcohol Is Recommended, But ... : Health Care Students' Attitudes About Alcohol Consumption During Pregnancy","Coons, Kelly D.; Watson, Shelley L.; Yantzi, Nicole M.; Lightfoot, Nancy E.; Larocque, Sylvie",Global Qualitative Nursing Research,2017,
Nonrespiratory mortality and cancer incidence in a cohort of Canadian nickel workers,"Lightfoot, Nancy E.; Berriault, Colin J.; Seilkop, Steven K.; Conard, Bruce R.",Archives Of Environmental & Occupational Health,2017,
Palliative Chemotherapy for Bladder Cancer: Treatment Delivery and Outcomes in the General Population,"Robinson, Andrew G.; Wei, Xuejiao; Vera-Badillo, Francisco; Mackillop, William J.; Booth, Christopher M.",Clinical Genitourinary Cancer,2017,
Point-of-Care Ultrasound for Jugular Venous Pressure Assessment: Live and Online Learning Compared,"Socransky, Steve; Lang, Eddy; Bryce, Rhonda; Betz, Martin",Cureus Journal Of Medical Science,2017,
Quality Improvement Initiatives to Optimize the Management of Chronic Obstructive Pulmonary Disease in Patients With Lung Cancer,"Digby, Genevieve C.; Robinson, Andrew",Journal Of Oncology Practice,2017,
Raising the BarCamp: international reflections,"Topps, David; Dennerlein, Sebastian; Treasure-Jones, Tamsin",MedEdPublish,2017,
Respiratory cancer mortality and incidence in an updated cohort of Canadian nickel production workers,"Seilkop, Steven K.; Lightfoot, Nancy E.; Berriault, Colin J.; Conard, Bruce R.",Archives Of Environmental & Occupational Health,2017,
Rotating shift work associated with obesity in men from northeastern Ontario,"Grundy, Anne; Cotterchio, Michelle; Kirsh, Victoria A.; Nadalin, Victoria; Lightfoot, Nancy; Kreiger, Nancy",Health Promotion And Chronic Disease Prevention In Canada - Research Policy And Practice,2017,
The cultural erosion of Indigenous people in health care,"Matthews, Richard",Canadian Medical Association Journal,2017,
The emerging Haemophilus influenzae serotype a infection and a potential vaccine: Implementation science in action,"Barreto, L.; Cox, A. D.; Ulanova, M.; Bruce, M. G.; Tsang, Rsw",Canada Communicable Disease Report = Releve Des Maladies Transmissibles Au Canada,2017,
The Immunostimulatory Capacity of Nontypeable Haemophilus influenzae Lipooligosaccharide,"Gaultier, Gabrielle N.; Colledanchise, Kayla N.; Alhazmi, Alaa; Ulanova, Marina",Pathogens & Immunity,2017,
Violence and resilience: a scoping review of treatment of mental health problems for Indigenous Youth | Canadian Child Welfare Research Portal,"Toombs, Elaine; Houlding, Carolyn; Braunberger, Peter; Sawula, Erica; Wekerle, Christine; Mushquash, Chris; Drawson, Alexandra",International Journal of Child and Adolescent Resilience,2017,
"Whey Protein Supplementation Improves Rehabilitation Outcomes in Hospitalized Geriatric Patients: A Double Blinded, Randomized Controlled Trial","Niccoli, Sarah; Kolobov, Anton; Bon, Trevor; Rafilovich, Seda; Munro, Heather; Tanner, Kim; Pearson, Trina; Lees, Simon J.",Journal Of Nutrition In Gerontology And Geriatrics,2017,
A conceptual framework of game-informed principles for health professions education,"Ellaway, Rachel H.",Advances In Simulation,2016,
Advancing surveillance of antimicrobial resistance: Summary of the 2015 CIDSC Report,"Amaratunga, K.; Tarasuk, J.; Tsegaye, L.; Archibald, C. P.; 2015 Communicable and Infectious Disease Steering Committee (CIDSC); Antimicrobial Resistance (AMR) Surveillance, Task Group",Canada Communicable Disease Report = Releve Des Maladies Transmissibles Au Canada,2016,
AT-SEA SIGHTINGS OF CHATHAM PETREL PTERODROMA AXILLARIS CONFIRM USE OF WATERS OFF NEW ZEALAND,"Flood, R. L.; Wilson, A. C.; Zufelt, K.",Marine Ornithology,2016,
Coming Home to Die: Six Nations of the Grand River Territory Develops Community-Based Palliative Care,"Fruch, Verna; Monture, Lori; Prince, Holly; Kelley, Mary Lou",International Journal Of Indigenous Health,2016,
Controversies in hypertension: is lower blood pressure always better?,"Tobe, Sheldon W.; Izzo, Joseph L., Jr.",Journal Of The American Society Of Hypertension,2016,
Developing and Implementing Peer-Led Intervention to Support Staff in Long-Term Care Homes Manage Grief,"Vis, Jo-Ann; Ramsbottom, Kimberley; Marcella, Jill; McAnulty, Jessica; Kelley, Mary Lou; Kortes-Miller, Katherine; Jones-Bonofiglio, Kristen",Sage Open,2016,
Diet and mental health: a plea for a 'paleo-deficit' perspective,"Balanza-Martinez, V.; Logan, A. C.; Katzman, M. A.",Bipolar Disorders,2016,
Different Models of Hospital-Community Health Centre Collaboration in Selected Cities in China: A Cross-Sectional Comparative Study,"Xu, Jing; Pan, Rui; Pong, Raymond W.; Miao, Yudong; Qian, Dongfu",International Journal Of Integrated Care,2016,
Dying With Carolyn: Using Simulation to Improve Communication Skills of Unregulated Care Providers Working in Long-Term Care,"Kortes-Miller, Katherine; Jones-Bonofiglio, Kristen; Hendrickson, Stephanie; Kelley, Mary Lou",Journal Of Applied Gerontology,2016,
Evaluation of Firefighter Exposure to Wood Smoke during Training Exercises at Burn Houses,"Fernando, S.; Shaw, L.; Shaw, D.; Gallea, M.; VandenEnden, L.; House, R.; Verma, D. K.; Britz-McKibbin, P.; McCarry, B. E.",Environmental Science & Technology,2016,
Factors affecting finger and hand pain in workers with HAVS,"House, R.; Krajnak, K.; Jiang, D.",Occupational Medicine,2016,
How patients think about social responsibility of public hospitals in China?,"Liu, Wenbin; Shi, Lizheng; Pong, Raymond W.; Chen, Yingyao",BMC Health Services Research,2016,
How should BP be measured in the office?,"Tobe, Sheldon W.; Izzo, Joe L., Jr.",Journal Of The American Society Of Hypertension,2016,
"Impact of maternal intrapartum antibiotics, method of birth and breastfeeding on gut microbiota during the first year of life: a prospective cohort study","Azad, M. B.; Konya, T.; Persaud, R. R.; Guttman, D. S.; Chari, R. S.; Field, C. J.; Sears, M. R.; Mandhane, P. J.; Turvey, S. E.; Subbarao, P.; Becker, A. B.; Scott, J. A.; Kozyrskyj, A. L.; CHILD, Study Investigators",BJOG - An International Journal Of Obstetrics And Gynaecology,2016,
Infant gut immunity: a preliminary study of IgA associations with breastfeeding,"Bridgman, S. L.; Konya, T.; Azad, M. B.; Sears, M. R.; Becker, A. B.; Turvey, S. E.; Mandhane, P. J.; Subbarao, P.; Scott, J. A.; Field, C. J.; Kozyrskyj, A. L.; CHILD, Study Investigators",Journal Of Developmental Origins Of Health And Disease,2016,
Long-Term Marijuana Use and Spatial Memory Performance: Does Dope Affect Dimensional Recall?,"James, A.; McLandress, B.; Donovan, J. R.; O'Hanlon, B.; Campbell, D. W.; Stewart, S.; Dell'Aquila, R.",Canadian Journal Of Experimental Psychology - Revue Canadienne De Psychologie Experimentale,2016,
Mental practice in surgical training,"Mick, P.; Dadgostar, A.; Ndoleriire, C.; Lea, J.; Clark, M.; Westerberg, B.",Clinical Teacher,2016,
Multicenter case registry study on medication-related osteonecrosis of the jaw in advanced cancer patients,"Schiodt, Morten; Vadhan-Raj, Saroj; Chambers, Mark Steven; Nicolatou-Galitis, Ourania; Politis, Constantinus; Coropciuc, Ruxandra; Fedele, Stefano; Jandial, Danielle; Zhang, Jeffrey; Ma, Haijun; Saunders, Deborah",Journal Of Clinical Oncology,2016,
Once Daily High-dose Radiation (≥60 Gy) Treatment in Limited Stage Small Cell Lung Cancer,"Zahra, Amir; Chang, Tangel; Hejleh, Taher Abu; Furqan, Muhammad; Clamon, Gerald H.; Bhatia, Sudershan K.; Watkins, John M.; Mott, Sarah L.; Ahmann, Logan L.; Bodeker, Kellie L.; Spitz, Douglas R.; Buatti, John M.; Allen, Bryan G.",Journal Of Oncology Translational Research,2016,
"Persistent Microvascular Obstruction After Myocardial Infarction Culminates in the Confluence of Ferric Iron Oxide Crystals, Proinflammatory Burden, and Adverse Remodeling","Kali, Avinash; Cokic, Ivan; Tang, Richard; Dohnalkova, Alice; Kovarik, Libor; Yang, Hsin-Jung; Kumar, Andreas; Prato, Frank S.; Wood, John C.; Underhill, David; Marban, Eduardo; Dharmakumar, Rohan",Circulation - Cardiovascular Imaging,2016,
Primary care pearls to help eliminate tuberculosis in Canada,"Amaratunga, K. R.; Alvarez, G. G.",Canada Communicable Disease Report = Releve Des Maladies Transmissibles Au Canada,2016,
Readmissions of medical patients: an external validation of two existing prediction scores,"Cooksley, T.; Nanayakkara, P. W. B.; Nickel, C. H.; Subbe, C. P.; Kellett, J.; Kidney, R.; Merten, H.; Van Galen, L.; Henriksen, D. P.; Lassen, A. T.; Brabrand, M.",QJM - An International Journal Of Medicine,2016,
Simulated Multitasking Performance Not Affected by Fatigue and Sleep Deprivation: An Eye-Tracking Study,"Bangs, Kurt; Caballero, Sebastian; Legault, Glenn; Roy-Charland, Annie",Canadian Journal Of Experimental Psychology - Revue Canadienne De Psychologie Experimentale,2016,
The effect of academic stress and attachment stress on stress-eaters and stress-undereaters,"Emond, M.; Ten Eycke, K.; Kosmerly, S.; Robinson, A. L.; Stillar, A.; Van Blyderveen, S.",Appetite,2016,
The Impact of Kindergarten Scheduling on Physical Activity and Classroom Behavior,"Thirkill, Laura J.; Horodziejczyk, Charley-Anne; Urajnik, Diana; Gauthier, Alain P.; Lariviere, Celine; Laurence, Michelle; Dorman, Sandra C.",Health Behavior And Policy Review,2016,
The value of breast MRI in high-risk patients with newly diagnosed breast cancer to exclude invasive disease in the contralateral prophylactic mastectomy: Is there a role to choose wisely patients for sentinel node biopsy?,"Freitas, V.; Crystal, P.; Kulkarni, S. R.; Ghai, S.; Bukhanov, K.; Escallon, J.; Scaranelo, A. M.",Cancer Medicine,2016,
Usefulness of cardiac resonance imaging in Churg-Strauss syndrome,"Nadeau, Pierre L.; Kumar, Andreas; O'Connor, Kim; Couture, Christian Y.; Bourgault, Christine; Dubois, Michelle; Senechal, Mario",Journal Of Cardiovascular Medicine,2016,
A longitudinal examination of rural status and suicide risk,"Neufeld, Eva; Hirdes, John P.; Perlman, Christopher M.; Rabinowitz, Terry",Healthcare Management Forum,2015,
A Study of Comparative Advantage and Intra-Industry Trade in the Pharmaceutical Industry of Iran,"Yusefzadeh, Hassan; Rezapour, Aziz; Lotfi, Farhad; Ebadifard Azar, Farbod; Nabilo, Bahram; Abolghasem Gorji, Hassan; Hadian, Mohammad; Shahidisadeghi, Niusha; Karami, Atiyeh",Global Journal Of Health Science,2015,
Adolescent Pregnancy Guidelines,"Fleming, N.; O'Driscoll, T.; Becker, G.; Spitzer, R. F.; Allen, L.; Millar, D.; Brain, P.; Dalziel, N.; Dubuc, E.; Hakim, J.; Murphy, D.; Spitzer, R.; Comm, Canpago",Journal Of Obstetrics And Gynaecology Canada,2015,
"Arginase inhibition prevents bleomycin-induced pulmonary hypertension, vascular remodeling, and collagen deposition in neonatal rat lungs","Grasemann, Hartmut; Dhaliwal, Rupinder; Ivanovska, Julijana; Kantores, Crystal; McNamara, Patrick J.; Scott, Jeremy A.; Belik, Jaques; Jankov, Robert P.",American Journal Of Physiology - Lung Cellular And Molecular Physiology,2015,
Assessing the Factors Associated With Iran's Intra-Industry Trade in Pharmaceuticals,"Yusefzadeh, Hassan; Hadian, Mohammad; Abolghasem Gorji, Hassan; Ghaderi, Hossein",Global Journal Of Health Science,2015,
Asymmetric Information in Iranian's Health Insurance Market: Testing of Adverse Selection and Moral Hazard,"Lotfi, Farhad; Abolghasem Gorji, Hassan; Mahdavi, Ghadir; Hadian, Mohammad",Global Journal Of Health Science,2015,
Can naloxone prescription and overdose training for opioid users work in family practice? Perspectives of family physicians,"Leece, P.; Orkin, A.; Shahin, R.; Steele, L. S.",Canadian Family Physician,2015,
Cardiac magnetic resonance in clinical cardiology,"Kumar, Andreas; Bagur, Rodrigo",World Journal Of Cardiology,2015,
CBCT image guidance in head and neck irradiation: the impact of daily and weekly imaging protocols,"Nyarambi, I.; Chamunyonga, C.; Pearce, A.",Journal Of Radiotherapy In Practice,2015,
CHILDHOOD AND LATER LIFE STRESSORS AND PSYCHOSIS,"Roper, Leslie J.; Purdon, Scot E.; Aitchison, Katherine J.",Clinical Neuropsychiatry,2015,
Contribution of BDNF and DRD2 genetic polymorphisms to continued opioid use in patients receiving methadone treatment for opioid use disorder: an observational study,"Bawor, Monica; Dennis, Brittany B.; Tan, Charlie; Pare, Guillaume; Varenbut, Michael; Daiter, Jeff; Plater, Carolyn; Worster, Andrew; Marsh, David C.; Steiner, Meir; Anglin, Rebecca; Desai, Dipika; Thabane, Lehana; Samaan, Zainab",Addiction Science & Clinical Practice,2015,
Diagnosis of Inclusion,"Ikeda, Kristin M.; Das, Sumit; Strong, Michael; Mirsattari, Seyed M.; Leung, Andrew; Steven, David; Hammond, Robert",Canadian Journal Of Neurological Sciences,2015,
Does MAP2 Have a Role in Predicting the Development of Anti-NMDAR Encephalitis Associated with Benign Ovarian Teratoma? A Report of Six New Pediatric Cases,"Cundiff, Caitlin A.; Elawabdeh, Nancy; Naguib, Mina M.; Jactel, Samuel N.; El Demellawy, Dina; Abramowsky, Carlos R.; Durham, Megan M.; Youssef, Lara; Wittkamp, Michael L.; Shehata, Bahig M.",Pediatric And Developmental Pathology,2015,
Emotion-Focused Family Therapy for Eating Disorders in Children and Adolescents,"Robinson, A. L.; Dolhanty, J.; Greenberg, L.",Clinical Psychology & Psychotherapy,2015,
Eribulin for heavily pre-treated metastatic breast cancer patients,"Digklia, Antonia; Voutsadakis, Ioannis A.",World Journal Of Experimental Medicine,2015,
Evaluation of an inpatient medical withdrawal program in rural Ontario: a 1-year prospective study,"Kiepek, Niki; Groom, Bobbi; Toppozini, Debbie; Kakekagumick, Kara; Muileboom, Jill; Kelly, Len",Canadian Journal Of Rural Medicine,2015,
Evaluation of the Pathogen Detect ?« System and Anthracene-Based Enzyme Substrates for the Detection and Differentiation of E . coli and Total Coliforms in Water Samples,"Hewage, Neville; Saleh, Mazen",Journal of Water Resource and Protection,2015,
Evolving Therapeutic Options for Polycythemia Vera: Perspectives of the Canadian Myeloproliferative Neoplasms Group,"Sirhan, S.; Busque, L.; Foltz, L.; Grewal, K.; Hamm, C.; Laferriere, N.; Laneuville, P.; Leber, B.; Liew, E.; Olney, H. J.; Prchal, J.; Porwit, A.; Gupta, V.",Clinical Lymphoma Myeloma & Leukemia,2015,
EXAMINING THE ROLE OF BODY MASS INDEX (BMI) AND AGE ON TRAFFIC CRASH FATALITIES,"Mushquash, A. R.; Dubois, S.; Weaver, B.; Bedard, M.",Gerontologist,2015,
Experience with central venous access devices (CVADs) in the Canadian hemophilia primary prophylaxis study (CHPS),"Langley, A. R.; Stain, A. M.; Chan, A.; McLimont, M.; Chait, S.; Wu, J.; Poon, M. C.; Card, R.; Israels, S. J.; Laferriere, N.; Klaassen, R. J.; Rivard, G. E.; Cloutier, S.; Hawes, S.; Feldman, B.; Blanchette, V.",Haemophilia,2015,
Factors Affecting Health Care Utilization in Tehran,"Nouraei Motlagh, Soraya; Sabermahani, Asma; Hadian, Mohammad; Lari, Mohsen Asadi; Mahdavi, Mohamad Reza Vaez; Abolghasem Gorji, Hassan",Global Journal Of Health Science,2015,
Food Insecurity and Migraine in Canada,"Gordon, K. E.; Dooley, J.; Kuhle, S.",Headache,2015,
GALNT3 gene mutation-associated chronic recurrent multifocal osteomyelitis and familial hyperphosphatemic familial tumoral calcinosis,"El Demellawy, D.; Chang, N.; de Nanassy, J.; Nasr, A.",Scandinavian Journal Of Rheumatology,2015,
"Health-care barriers for workers with HAVS in Ontario, Canada","Bodley, T.; Nurmohamed, S.; Holness, D. L.; House, R.; Thompson, AMS",Occupational Medicine,2015,
Increase in use of protective earplugs by Rock and Roll concert attendees when provided for free at concert venues,"Cha, J.; Smukler, S. R.; Chung, Y.; House, R.; Bogoch, I. I.",International Journal Of Audiology,2015,
Infant gut microbiota and food sensitization: associations in the first year of life,"Azad, M. B.; Konya, T.; Guttman, D. S.; Field, C. J.; Sears, M. R.; HayGlass, K. T.; Mandhane, P. J.; Turvey, S. E.; Subbarao, P.; Becker, A. B.; Scott, J. A.; Kozyrskyj, A. L.; CHILD, Study Investigators",Clinical And Experimental Allergy,2015,
Interaction Between Functional Genetic Variation of DRD2 and Cannabis Use on Risk of Psychosis,"Colizzi, Marco; Iyegbe, Conrad; Powell, John; Ursini, Gianluca; Porcelli, Annamaria; Bonvino, Aurora; Taurisano, Paolo; Romano, Raffaella; Masellis, Rita; Blasi, Giuseppe; Morgan, Craig; Aitchison, Katherine; Mondelli, Valeria; Luzi, Sonija; Kolliakou, Anna; David, Anthony; Murray, Robin M.; Bertolino, Alessandro; Di Forti, Marta",Schizophrenia Bulletin,2015,
Langerhans cell histiocytosis: a comprehensive review,"El Demellawy, Dina; Young, James Lee; de Nanassy, Joseph; Chernetsova, Elizaveta; Nasr, Ahmed",Pathology,2015,
Leisure-Time Physical Activity in adults with Cerebral Palsy,"Usuba, Koyo; Oddson, Bruce; Gauthier, Alain; Young, Nancy L.",Disability And Health Journal,2015,
Main Determinants of Supplementary Health Insurance Demand: (Case of Iran),"Nouraei Motlagh, Soraya; Abolghasem Gorji, Hassan; Mahdavi, Ghadir; Ghaderi, Hossein",Global Journal Of Health Science,2015,
Methylation Status of the Chromosome Arm 19q MicroRNA Cluster in Sporadic and Androgenetic-Biparental Mosaicism-Associated Hepatic Mesenchymal Hamartoma,"Keller, Rachel B.; El Demellawy, Dina; Quaglia, Alberto; Finegold, Milton; Kapur, Raj P.",Pediatric And Developmental Pathology,2015,
Part 10: Special Circumstances of Resuscitation 2015 American Heart Association Guidelines Update for Cardiopulmonary Resuscitation and Emergency Cardiovascular Care,"Lavonas, E. J.; Drennan, I. R.; Gabrielli, A.; Heffner, A. C.; Hoyte, C. O.; Orkin, A. M.; Sawyer, K. N.; Donnino, M. W.",Circulation,2015,
Patients With Ankylosing Spondylitis Have Increased Cardiovascular and Cerebrovascular Mortality A Population-Based Study,"Haroon, Nisha Nigil; Paterson, J. M.; Li, Ping; Inman, Robert D.; Haroon, Nigil",Annals Of Internal Medicine,2015,
Plasma arginine metabolites reflect airway dysfunction in a murine model of allergic airway inflammation,"Scott, Jeremy A.; North, Michelle L.; Rafii, Mahrouk; Huang, Hailu; Pencharz, Paul; Grasemann, Hartmut",Journal Of Applied Physiology,2015,
"Plasma Exchange in a Patient with Tumefactive, Corticosteroid-Resistant Multiple Sclerosis","Ikeda, Kristin M.; Lee, Donald H.; Fraser, J. A.; Mirsattari, Seyed; Morrow, Sarah A.",International Journal Of MS Care,2015,
"Practical Acute Myeloid Leukemia (AML) Biomarker Testing Using Next-Generation Sequencing (NGS) Technology: A Comprehensive, Rapid, Inexpensive and Flexible Approach","McClure, Rebecca F.; Kirwan, Tyler; Castonguay, Zachary; Marolt, Amanda; Rutherford, Michael",Blood,2015,
Predictors of the antibody response to influenza vaccination in older adults with type 2 diabetes,"McElhaney, Janet E.; Garneau, Hugo; Camous, Xavier; Dupuis, Gilles; Pawelec, Graham; Baehl, Sarra; Tessier, Daniel; Frost, Eric H.; Frasca, Daniela; Larbi, Anis; Fulop, Tamas",BMJ Open Diabetes Research & Care,2015,
Review of Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: an evidence-based approach to diagnosis and management by clinicians,"Bested, Alison C.; Marshall, Lynn M.",Reviews On Environmental Health,2015,
"Risk and protective factors associated with intentional self-harm among older community-residing home care clients in Ontario, Canada","Neufeld, Eva; Hirdes, John P.; Perlman, Christopher M.; Rabinowitz, Terry",International Journal Of Geriatric Psychiatry,2015,
Risk of Dementia in Seniors With Newly Diagnosed Diabetes: A Population-Based Study,"Haroon, Nisha Nigil; Austin, Peter C.; Shah, Baiju R.; Wu, Jianbao; Gill, Sudeep S.; Booth, Gillian L.",Diabetes Care,2015,
RNA Disruption and Drug Response in Breast Cancer Primary Systemic Therapy,"Pritzker, Kenneth; Pritzker, Laura; Generali, Daniele; Bottini, Alberto; Cappelletti, Maria Rosa; Guo, Baoqing; Parissenti, Amadeo; Trudeau, Maureen",Journal Of The National Cancer Institute Monographs,2015,
"Sentinel lymph node biopsy in vulvar cancer: Systematic review, meta-analysis and guideline recommendations","Covens, Al; Vella, Emily T.; Kennedy, Erin B.; Reade, Clare J.; Jimenez, Waldo; Le, Tien",Gynecologic Oncology,2015,
Sepsis impairs microvascular autoregulation and delays capillary response within hypoxic capillaries,"Bateman, Ryon M.; Sharpe, Michael D.; Jagger, Justin E.; Ellis, Christopher G.",Critical Care,2015,
Superoxide dismutase mimic inhibits invasiveness of human gastric adenocarcinoma (GAC) cells,"Houwen, Frederick K.; O'Leary, Brianne R.; Allen, Bryan G.; Keene, Jeffery L.; Beardsley, Robert A.; Spitz, Douglas R.; Mezhir, James J.",Journal Of The American College Of Surgeons,2015,
"Tensions Between Anonymity and Thick Description When ""Studying Up"" in Genetics Research","Bickford, Julia; Nisker, Jeff",Qualitative Health Research,2015,
The Canadian Healthy Infant Longitudinal Development Birth Cohort Study: Biological Samples and Biobanking,"Moraes, T. J.; Lefebvre, D. L.; Chooniedass, R.; Becker, A. B.; Brook, J. R.; Denburg, J.; HayGlass, K. T.; Hegele, R. G.; Kollmann, T. R.; Macri, J.; Mandhane, P. J.; Scott, J. A.; Subbarao, P.; Takaro, T. K.; Turvey, S. E.; Duncan, J. D.; Sears, M. R.; Befus, A. D.; CHILD, Study Investigators",Paediatric And Perinatal Epidemiology,2015,
The impact of chronic pain on opioid addiction treatment: a systematic review protocol,"Dennis, Brittany B.; Bawor, Monica; Paul, James; Varenbut, Michael; Daiter, Jeff; Plater, Carolyn; Pare, Guillaume; Marsh, David C.; Worster, Andrew; Desai, Dipika; Thabane, Lehana; Samaan, Zainab",Systematic Reviews,2015,
The Role of Population-Based Observational Research in Bladder Cancer,"Robinson, Andrew G.; Izard, Jason P.; Booth, Christopher M.",Bladder Cancer,2015,
